participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1430,0.453,1,1,1,13
1430,0.399,1,0,1,17
1430,0.516,1,1,1,18
1430,0.465,1,0,1,20
1430,0.456,1,0,1,21
1430,0.523,1,1,1,23
1430,0.386,1,0,1,24
1430,0.482,1,0,1,26
1430,0.36,1,0,1,27
1430,0.528,1,1,1,28
1430,0.506,1,1,1,29
1430,0.354,1,0,1,30
1430,0.32,1,1,1,31
1430,0.3,1,0,1,33
1430,0.495,1,0,1,34
1430,0.347,1,0,1,35
1430,0.418,1,0,1,37
1430,0.394,1,0,1,38
1430,0.349,1,0,1,39
1430,0.381,1,0,1,40
1430,0.468,1,0,1,41
1430,0.355,1,0,1,42
1430,0.59,1,1,1,44
1430,0.447,1,0,1,45
1430,0.385,1,1,1,46
1430,0.47,1,0,1,48
1430,0.458,1,0,1,49
1430,0.419,0,1,1,51
1430,0.365,1,0,1,55
1430,0.372,1,0,1,56
1430,0.689,1,0,1,57
1430,0.485,1,1,1,58
1430,0.378,1,0,1,60
1430,0.455,0,1,1,65
1430,0.528,0,1,1,66
1430,0.591,1,1,1,67
1430,0.743,1,0,1,69
1430,0.443,1,1,1,70
1430,0.501,1,1,1,71
1430,0.506,1,1,1,72
1430,0.571,1,0,1,75
1430,0.358,1,0,1,76
1430,0.449,1,1,1,78
1430,0.436,1,0,1,79
1430,0.378,1,0,1,80
1430,0.453,1,1,1,83
1430,0.423,1,0,1,85
1430,0.434,1,1,1,87
1430,0.334,1,0,1,88
